"ID";"descrizione";"Data";"Tipo_di_costo";"Importo"
"14/4";"COOP CENTRO ITALIA SOCIETA' COOPERATIVA  ";"2020-12-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"413,01"
"14/129";"STIVAL SA NV";"2020-12-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"90,87"
"14/94";"STORICA FATTORIA PALAGIACCIO S.S.A ";"2020-12-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"139,88"
"14/118";"FERRAIUOLO FOODS SRLS ";"2020-12-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"302,4"
"14/107";"DIVINA FOOD AG    ";"2020-12-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"52,8"
"14/24";"STABLE TRADING LIMITED ITALIAN FINE FOOD UNIT A.18/F SUN YING ";"2020-12-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"0,0"
"14/143";"PASSIONE E PURA";"2020-12-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"43,47"
"14/131";"ALDI SRL COD.09717   SOC.CON SOCIO UNICO         ";"2020-12-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"86,8"
"14/126";"MAIORA SRL   ";"2020-12-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"820,06"
"14/117";"INIZIATIVE ALIMENTARI SRL     ";"2020-12-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"125,19"
"14/125";"LA FUTURA SRL       ";"2020-12-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"24,69"
"14/143";"APULIA DISTRIBUZIONE";"2020-12-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"0,0"
"14/87";"METRO ITALIA CASH AND CARRY spa";"2020-12-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"426,47"
